X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,Y,검증
0.469230644,0.589291687,0.49909645,0.379841362,0.000609325,0.328561939,0.965785381,0.665019338,0.542478566,0.358361775,0.880692168,0.226185116,0.329908887,0.165668285,0.056644386,0.958559447,0.500188495,0.848738956,0.814395323,0.242124401,0.797675214,0.481224316,0.538057107,0.647599074,0.863698363,0.398104142,0.261259459,0.476550415,0.514342629,0.529986104,0.009553586,0.121292585,0.078721456,0.019008262,0.921278544,0.458921462,0.603022164,0.267583153,0.706799235,0.120953528,0.288419005,0.453178099,0.31900983,0.261237692,0.798994479,0.411986319,0.280398548,0.815716198,0.837429112,0.84244671,0.244444444,0.902086677,0.591397849,0.774059911,0.138290916,0.533283556,0.500043033,0.132026554,0.077697535,0.359149036,0.221740865,0.443966023,7e-05,0.762020855,0.187415542,0.288632781,0.893347729,0.05066274,0.0,0.349286564,0.640618956,0.499368952,-1,0
0.575002854,0.445535052,0.666762501,0.39398228,0.000132782,0.428941599,0.969673406,0.65663945,0.412314887,0.228668942,0.932908318,0.205144795,0.45703929,0.165390958,0.048682851,0.963739517,0.476295931,0.830040161,0.740957252,0.238977658,0.712273504,0.525354764,0.455344944,0.938168933,0.981245129,0.964903118,0.487686486,0.562508789,0.701593625,0.492686316,0.07681672,0.139530304,0.083008766,0.019792917,0.916991234,0.0,0.757277339,0.295520598,0.907068465,0.07505816,0.274731637,0.360792952,0.360564837,0.278107015,0.780757098,0.53524312,0.395517083,0.755482592,0.835538752,0.843373494,0.385185185,0.913322632,0.573476703,0.736297004,0.151143615,0.555274567,0.364962561,0.157978498,0.049586125,0.299588622,0.204983318,0.468744256,0.000102593,0.833426974,0.273964403,0.280662519,0.893347729,0.05066274,0.0,0.300237812,0.643713733,0.441733277,-1,0
0.400384923,0.466998211,0.543478628,0.244894317,0.000573593,0.469123174,0.946345257,0.63859046,0.319563523,0.359499431,0.933515483,0.219610433,0.425265361,0.180762332,0.053078261,0.960286137,0.495005418,0.835630522,0.80891487,0.23523653,0.724307692,0.443065649,0.454756922,0.950028927,0.976130164,0.955045177,0.190989189,0.69529602,0.689243028,0.479594822,0.077053107,0.068332688,0.06795286,0.014225137,0.93204714,0.090744579,0.530099563,0.245947317,0.891127223,0.03569669,0.586889308,0.293580868,0.340258674,0.378747009,0.79455836,0.447083922,0.496776257,0.685565631,0.737240076,0.756255792,1.0,0.616372392,0.458781362,0.585404716,0.27071627,0.747554011,0.322790257,0.16868447,0.063833051,0.215625294,0.168450881,0.564324989,7.73e-05,0.750308766,0.309017252,0.224819081,0.935748043,0.037772933,0.0,0.146848989,0.541972921,0.27177114,-1,0
0.471367291,0.500399889,0.678327397,0.357067324,0.000764821,0.387631019,0.960342146,0.67060593,0.392049883,0.31513083,0.915300546,0.220657668,0.480817705,0.177309689,0.059646477,0.972126295,0.483114069,0.834120482,0.763975155,0.234117688,0.720752137,0.485779064,0.516127359,0.931949667,0.969992206,0.949861597,0.185583784,0.875017578,0.938247012,0.439918087,0.140226307,0.073973612,0.041584896,0.015487123,0.958415104,0.406310664,0.383630395,0.448567606,0.885104976,0.06019881,0.306445916,0.594776589,1.0,1.0,0.529771293,0.328147236,1.0,0.88549618,0.867674858,0.891566265,0.474074074,0.871589085,0.465949821,0.671606119,0.084682122,0.617807247,0.143600998,0.304039805,0.108988635,0.607576399,0.350178773,0.819041464,7.04e-05,0.738045972,0.454369091,0.204605696,0.893347729,0.05066274,0.0,0.153091558,0.791102515,0.369793858,-1,0
0.331115134,0.398566214,0.678327397,0.357067324,0.000764821,0.387631019,0.960342146,0.725612376,0.546375682,0.459613197,0.954766242,0.204311009,0.37071896,0.164389694,0.048522278,0.975086334,0.475020627,0.840546185,0.744976251,0.152756897,0.807863248,0.492337902,0.518782103,0.645791148,0.865890491,0.398299995,0.160962162,0.339825622,0.419521912,0.53031522,0.099924624,0.129919134,0.074947415,0.012901032,0.925052585,0.452604218,0.622500746,0.266642063,0.690857993,0.081671097,0.507567424,0.199118943,0.495243615,0.523194764,0.681486593,0.316375054,0.54351929,0.698678497,0.879017013,0.91102873,0.474074074,0.900481541,0.408602151,0.649458254,0.29058299,0.722787929,0.160642052,0.238569898,0.031962655,0.123561354,0.123580979,0.695282004,7e-05,0.71372334,0.38144144,0.225472404,0.893347729,0.05066274,0.0,0.370689655,0.50754352,0.4358435,-1,0
0.468154165,0.394610944,0.666762501,0.39398228,0.000132782,0.428941599,0.969673406,0.83927804,0.205767732,0.516496018,0.921979356,0.222299672,0.392300488,0.167731854,0.056194174,0.955352738,0.49361594,0.830040161,0.829375228,0.139330793,0.736205128,0.491669872,0.532150949,0.655409314,0.862967654,0.398430564,0.075675676,0.640627197,0.693227092,0.520332041,0.177129375,0.098271514,0.045278424,0.01864209,0.954721576,0.429177771,0.445267356,0.468404299,0.862314904,0.10680553,0.272968607,0.376337319,0.348304065,0.26328576,0.763702681,0.552358041,0.391419259,0.739866998,0.835538752,0.843373494,0.385185185,0.913322632,0.573476703,0.736297004,0.157756386,0.544139698,0.390481109,0.160294932,0.059436302,0.268944523,0.193076547,0.468900567,9.64e-05,0.808518985,0.259167971,0.285962359,0.893347729,0.05066274,0.0,0.379310345,0.669245648,0.30500631,-1,0
0.514817896,0.7727319,0.739336396,0.270378984,9.6e-05,0.511637037,0.921461897,0.69681994,0.53858145,0.405005688,0.888585307,0.225933869,0.661257313,0.152505349,0.052988828,0.960286137,0.507450404,0.851084337,0.838509317,0.245411,0.69791453,0.499362335,0.486587918,0.960370263,0.969066641,0.964707265,0.427027027,0.746097595,0.756175299,0.507935347,0.031479557,0.071508884,0.063776255,0.023693305,0.936233809,0.048432205,0.547082282,0.223739447,0.905179132,0.07237083,0.460747247,0.291441158,0.495768314,0.510055772,0.400039432,0.290523781,0.501265139,0.427883589,0.879017013,0.91102873,0.474074074,0.900481541,0.408602151,0.649458254,0.294820723,0.720698488,0.162578535,0.242805025,0.021104074,0.103923366,0.096693843,0.70886806,8.01e-05,0.709111025,0.3842499,0.164256329,0.893347729,0.05066274,0.0,0.256242568,0.490522244,0.544804375,-1,0
0.366068079,0.642324303,0.739336396,0.270378984,9.6e-05,0.511637037,0.921461897,0.74086807,0.502727981,0.321956769,0.892531876,0.22634965,0.603242143,0.171222749,0.053202247,0.961766157,0.507803698,0.851084337,0.906466935,0.413097444,0.563282051,0.569950809,0.533621003,0.493925369,0.644485581,0.296064658,0.183783784,0.519512024,0.598804781,0.52545162,0.100107489,0.128331036,0.065869589,0.008307532,0.934130411,0.464876781,0.600878978,0.263237533,0.704555653,0.086755946,0.46903841,0.201510384,0.501791982,0.507000347,0.665910883,0.334093403,0.539784355,0.809469227,0.879017013,0.91102873,0.474074074,0.900481541,0.408602151,0.649458254,0.283905289,0.68426246,0.162965832,0.234317753,0.038630995,0.154506347,0.137459174,0.673315203,6.8e-05,0.711833615,0.36070002,0.244033131,0.893347729,0.05066274,0.0,0.285671819,0.517988395,0.175431216,-1,0
0.445058799,0.392066193,0.739336396,0.270378984,9.6e-05,0.511637037,0.921461897,0.745810056,0.540140296,0.452787258,0.876138434,0.227967196,0.588447841,0.162609555,0.053202247,0.955352738,0.510938103,0.851084337,0.872488126,0.250725499,0.785641026,0.491933035,0.54230297,0.650997975,0.866134061,0.404697864,0.412610811,0.601567993,0.639442231,0.530571199,0.031479557,0.071508884,0.063776255,0.023693305,0.936233809,0.048432205,0.547082282,0.223739447,0.905179132,0.07237083,0.519355698,0.179043424,0.491349871,0.515363849,0.686908517,0.302805939,0.537494345,0.705993354,0.879017013,0.91102873,0.474074074,0.900481541,0.408602151,0.649458254,0.290665675,0.741912317,0.088820036,0.237372296,0.028102291,0.123178185,0.121682505,0.69174908,8.1e-05,0.743952756,0.403713132,0.203049792,0.893347729,0.05066274,0.0,0.27705113,0.524564797,0.404291123,-1,0
0.288414803,0.50698716,0.528117288,0.281597593,0.000573593,0.450093483,0.951010886,0.730554362,0.214341387,0.642775882,0.923193685,0.222708783,0.360376246,0.166985738,0.051130052,0.955106068,0.505138916,0.816481928,0.749360614,0.227824202,0.709128205,0.486204174,0.445210218,0.943375759,0.979491426,0.966561341,0.215016216,0.757804809,0.813545817,0.533898925,0.077053107,0.068332688,0.06795286,0.014225137,0.93204714,0.090744579,0.530099563,0.245947317,0.891127223,0.03569669,0.58715275,0.163310258,0.422575711,0.448562572,0.719932965,0.330355355,0.516509774,0.860452406,0.737240076,0.756255792,1.0,0.616372392,0.458781362,0.585404716,0.261806581,0.820556276,0.151949393,0.187148359,0.05022496,0.256913493,0.186416947,0.594971408,7.45e-05,0.686711532,0.324969022,0.270512057,0.925869414,0.057093022,0.0,0.266944114,0.43868472,0.16659655,-1,2
